Fund,Fund ID,Fund Description,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,32,Circuit Clerk,Circuit Clerk,Telephone,,,Circuit Clerk,"2,548","2,093","2,388","2,763","2,838","3,500","3,500","3,500","4,330","4,000","4,000","4,163","4,000","4,000","3,220","5,525","2,526","2,320","2,548","2,093","2,388","2,763","2,838","3,029","2,593","2,720","4,330","3,078","3,146","4,125","3,212","3,361","3,168","3,500","2,526","2,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,32,Circuit Clerk,Circuit Clerk,Office Machine Rent,,,Circuit Clerk,"5,186","5,849","6,538","5,400","5,000","5,000","5,000","5,000","5,000","5,194","5,272","5,000","5,622","4,641","5,751","5,197","2,964","2,918","5,186","5,849","6,539","4,519","4,754","4,622","4,892","4,816","3,767","5,194","5,273","4,790","5,622","4,641","5,751","5,196","2,964","2,918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,32,Circuit Clerk,Circuit Clerk,Insurance,,,Circuit Clerk,375,625,325,325,411,500,500,500,545,762,784,500,500,598,500,637,323,339,375,625,325,325,411,305,227,405,545,762,784,444,388,598,500,498,323,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,32,Circuit Clerk,Circuit Clerk,Periodicals,,,Circuit Clerk,0,0,0,0,0,0,0,0,561,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,926,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,32,Circuit Clerk,Circuit Clerk,Equipment,,,Circuit Clerk,"1,618",375,0,0,"3,600","2,000","2,000","2,000","2,000","2,000","2,000","1,819","2,000","1,850","1,030","2,125","17,139",0,"1,618",375,0,0,"1,203","1,005",367,0,0,"1,143",538,0,"1,049","1,500","1,030","2,000","17,139",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,32,Circuit Clerk,Circuit Clerk,Publications,,,Circuit Clerk,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,32,Circuit Clerk,Circuit Clerk,Miscellaneous,,,Circuit Clerk,0,0,0,0,0,500,500,500,500,500,500,518,370,360,74,19,12,0,0,0,0,0,0,356,0,0,34,95,0,18,146,103,74,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,32,Circuit Clerk,Circuit Clerk,Equipment Purchase & Maintenance,,,Circuit Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,33,States Attorney,States Attorney,Salories & Benefits,,,State's Attorney,"240,640","247,506","250,853","260,433","306,767","323,433","348,896","351,658","351,558","367,144","370,375","388,513","398,038","419,478","414,122","377,161","412,576","437,056","240,640","246,449","250,853","260,433","306,767","323,331","348,896","351,299","351,558","367,144","370,377","388,514","398,039","419,428","414,122","377,161","412,561","435,976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,33,States Attorney,States Attorney,Office Supplies,,,State's Attorney,"3,000","3,560","3,634","4,722","3,300","2,683","5,514","5,304","5,508","4,651","4,817","4,143","5,727","3,008","2,521","1,593","4,664","4,000","2,537","3,560","3,632","4,722","2,653","2,683","5,514","5,304","5,363","4,651","4,817","4,143","5,727","3,008","2,498","1,593","4,664","3,897",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,33,States Attorney,States Attorney,Postage,,,State's Attorney,"2,750","2,693","2,936","2,800","3,050","2,805","3,700","3,700","3,700","2,955","1,437","2,393","1,536",787,"1,280",186,"2,393","1,500","2,312","1,700","2,936","2,756","3,050","2,805","3,381","2,365","3,443","2,885","1,437","2,393","1,536",687,"1,280",186,"2,393","1,469",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,33,States Attorney,States Attorney,Travel,,,State's Attorney,0,583,70,"1,003","1,270",454,"1,969","2,580","1,435",712,581,"2,504","1,940","2,237","2,659",770,"1,993",320,0,583,70,"1,003","1,270",454,"1,969","2,580",791,712,581,"2,504","1,940","1,937","2,659",770,"1,993",320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,33,States Attorney,States Attorney,Publishing,,,State's Attorney,"1,000","1,000",867,"1,000","1,000",866,"1,000","1,000","2,299","1,833","1,670","1,527","1,512",905,"1,455",781,672,"1,172",734,594,867,945,358,866,965,"1,388","2,255","1,833","1,670","1,527","1,512",905,"1,455",781,672,"1,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,33,States Attorney,States Attorney,Psychological Evaluation & Testing,,,State's Attorney,0,"1,000",0,771,269,0,201,"1,030","1,030",0,0,"2,775",0,0,0,0,0,0,0,165,0,753,269,0,0,"1,030",0,0,0,"2,775",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,33,States Attorney,States Attorney,Witness & Investigation,,,State's Attorney,"5,123","5,135","8,831","5,971","5,592","5,707","6,522","7,500","5,000","2,984","5,913","7,524","5,600","2,999","1,686",900,403,"1,500","5,123","5,095","8,831","5,971","5,592","5,707","4,559","6,184","3,685","2,984","5,882","7,524","5,598","2,912","1,685",900,403,"1,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,33,States Attorney,States Attorney,Telephone,,,State's Attorney,"5,900","6,900","5,608","5,219","6,556","6,621","6,900","6,286","5,575","4,992","5,010","6,194","5,476","6,077","5,135","4,203","4,318","6,801","5,874","5,316","5,608","5,219","6,215","6,621","5,842","5,330","5,106","4,992","4,988","6,193","5,476","6,052","5,133","4,203","4,318","6,801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,33,States Attorney,States Attorney,Machine Rent,,,State's Attorney,"3,805","3,959","3,522","3,690","3,860","3,663","3,985","3,760","3,760","3,341","2,754","3,125","3,528","2,334","2,930","2,316","3,150","9,328","3,805","3,959","3,522","3,671","3,860","3,663","3,509","3,760","3,489","3,241","2,754","3,125","3,528","2,334","2,930","2,316","3,150","9,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,33,States Attorney,States Attorney,Miscellaneous,,,State's Attorney,"3,042","2,000","1,624","1,477",788,"2,280","2,100","2,100","2,450","1,519","1,787","1,697","2,717","2,365",906,"2,416",369,"2,716","3,042","1,636","1,623","1,477",788,"2,280","1,443","1,914","2,450","1,519","1,786","1,697","2,717","2,365",883,"2,416",369,"2,716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,33,States Attorney,States Attorney,Equipment,,,State's Attorney,363,375,832,680,500,"6,409",200,"8,480",161,897,0,228,"4,583",336,131,83,2,0,360,271,832,680,495,"6,409",200,"8,480",161,897,0,228,"4,580","4,873","2,127","1,048",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,33,States Attorney,States Attorney,"Book, Transcript & Periodicals",,,State's Attorney,"4,660","3,750","3,700","3,201","3,334","3,239","5,400","5,626","5,626","3,973","3,254","4,977","5,843","4,873","2,127","1,048",879,"3,237","4,660","2,824","3,700","3,201","3,334","3,240","5,173","5,626","3,813","3,973","3,254","4,977","5,843",336,120,83,879,"3,237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,33,States Attorney,States Attorney,Education & Training,,,State's Attorney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,34,Aid to Dependent Children,Aid to Dependent Children,Miscellaneous,,,County Board Office,0,0,"1,000","1,000","1,000","1,000","1,000","1,000",955,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,35,Development,Development,Business Park Road Project Expenses,,,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"83,998",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"57,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,36,Soil Conservation,Soil Conservation,County Grant,,,County Board Office,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000",0,0,0,0,0,0,0,0,0,0,"5,000","5,000","5,000",0,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,37,West Central Regional Planning Commission,West Central Regional Planning Commission,Yearly Dues,,,County Board Office,"19,100","9,600","9,600","12,000","12,000","15,000","18,000","18,000","10,000","10,000","10,000","9,536","9,536",0,0,0,0,0,"21,367","11,871","11,666","2,370","19,072",0,"19,072","9,536","9,536","9,536","9,536",0,"9,536",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,38,Development Commission,Development Commission,Salaries & Benefits,,,County Board Office,0,0,0,0,0,"23,500","24,700","25,660","26,740","27,940","27,945","29,628","29,950","31,139",0,0,0,0,0,0,0,0,0,"21,540","24,700","25,660","26,740","26,776","27,940","29,628","29,941","31,139",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,38,Development Commission,Development Commission,Office Supplies,,,County Board Office,0,0,0,0,0,"2,000","1,500","1,502","2,000","1,900","1,900",650,592,"1,000",0,0,0,0,0,0,0,0,0,657,"1,022","1,502","1,003",907,313,599,592,690,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,38,Development Commission,Development Commission,Postage,,,County Board Office,0,0,0,0,0,"2,500","1,500","1,500","1,360","1,460","1,460",500,500,500,0,0,0,0,0,0,0,0,0,504,905,342,"1,146",187,52,166,175,138,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,38,Development Commission,Development Commission,Travel,,,County Board Office,0,0,0,0,0,"3,000","5,000","5,000","3,041","3,958","3,759","5,000","1,896","1,705",0,0,0,0,0,0,0,0,0,"2,638","3,340","3,985","2,876","2,981","2,351","2,931","1,397","1,680",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,38,Development Commission,Development Commission,Printing,,,County Board Office,0,0,0,0,0,"2,500","1,500","1,500",734,"1,400","1,400","2,309",599,0,0,0,0,0,0,0,0,0,0,291,928,"1,094",659,772,27,"1,375",452,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,38,Development Commission,Development Commission,Telephone,,,County Board Office,0,0,0,0,0,"3,000","2,750","2,750","1,650","2,500","2,500","2,500","2,220","1,902",0,0,0,0,0,0,0,0,0,"1,141",808,966,"1,572","1,585","1,545","1,579","1,255","1,371",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,38,Development Commission,Development Commission,Office Rent,,,County Board Office,0,0,0,0,0,"1,800","2,400","2,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,800","2,400","1,400",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,38,Development Commission,Development Commission,Website Hosting/Maintenance,,,County Board Office,0,0,0,0,0,0,0,"1,500",959,"1,042","1,000","1,250","1,592","1,489",0,0,0,0,0,0,0,0,0,0,959,"1,099",959,"1,042",959,959,"1,592","1,489",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,38,Development Commission,Development Commission,Miscellaneous,,,County Board Office,0,0,0,0,0,"15,054","4,600",0,0,0,0,0,"5,901","3,810",0,0,0,0,0,0,0,0,0,"6,130",265,0,0,0,0,0,"4,120","3,810",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,38,Development Commission,Development Commission,Grant Administration,,,County Board Office,0,0,0,0,0,0,0,"21,098","10,500","12,650","2,390","8,164","4,750","8,095",0,0,0,0,0,0,0,0,0,0,0,"20,180","11,292","12,079","2,391","5,667","3,359","7,309",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,38,Development Commission,Development Commission,Conferences/Training,,,County Board Office,0,0,0,0,0,0,0,"2,000","1,166","2,000","2,000","2,000","2,000","2,300",0,0,0,0,0,0,0,0,0,0,"1,562","1,150","1,166","1,260","1,361","1,323","1,799","1,648",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,38,Development Commission,Development Commission,IDNR Com Planning,,,County Board Office,0,0,0,0,0,0,0,0,"1,500","16,980",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,500","16,980",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,38,Development Commission,Development Commission,County Grant,,,County Board Office,"7,500","7,000","7,000","7,000","25,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"7,500","7,000","7,000","7,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,38,Development Commission,Development Commission,Equipment,,,County Board Office,0,0,0,0,0,"5,000","3,750","3,750",960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,787",380,691,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,39,Superintendent of Education,Superintendent of Education,Salaries & Benefits,,,Superintendent of Education,"47,042","48,842","51,240","54,598","59,407","61,413","66,104","67,830","65,041","67,592","67,645","63,342","67,245","64,815","78,910","74,965","73,465","74,965","45,408","48,300","52,218","54,762","59,407","61,413","65,845","65,496","65,041","67,592","67,646","63,142","67,226","64,815","78,910","74,965","73,465","74,965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,39,Superintendent of Education,Superintendent of Education,Office Supplies,,,Superintendent of Education,"3,000","3,000","3,000","1,617","1,306",0,"2,800","2,800",416,46,0,256,813,110,0,0,0,0,"2,981","2,329","2,983","1,617",880,0,"1,260",461,415,0,0,256,813,110,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,39,Superintendent of Education,Superintendent of Education,Postage,,,Superintendent of Education,"4,000","4,000","4,000","2,928","4,000","3,902","4,000","2,407","3,450",700,400,500,0,0,0,0,0,0,"4,000","3,926","3,776","2,928","2,002","3,900","1,718","2,293","2,000",700,400,300,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,39,Superintendent of Education,Superintendent of Education,Travel,,,Superintendent of Education,"3,500","3,172","2,500","2,500","3,538","3,983","4,319","5,097","6,380","2,867","3,023","1,000",705,"2,119",0,0,0,0,"3,472","3,122","2,513","2,646","3,538","3,901","4,318","5,097","6,380","2,867","3,024",947,705,"2,119",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,39,Superintendent of Education,Superintendent of Education,Printing,,,Superintendent of Education,0,0,"2,000",0,0,0,"1,795","1,795",704,25,0,0,0,0,0,0,0,0,0,0,"2,797",0,0,0,0,"1,583",704,25,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,39,Superintendent of Education,Superintendent of Education,Publishing,,,Superintendent of Education,"1,250","1,250",0,"1,268","2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,966,"1,250",0,"1,268",75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,39,Superintendent of Education,Superintendent of Education,Telephone,,,Superintendent of Education,"7,780","8,102","7,000","11,279","8,798","6,533","6,681","4,942","5,171","4,465","6,785","1,163","2,556","2,278",0,0,0,0,"6,213","8,102","8,761","11,279","8,798","6,533","4,049","4,942","5,171","4,465","3,785","1,163","2,556","2,278",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,39,Superintendent of Education,Superintendent of Education,Equipment Repair,,,Superintendent of Education,"1,400","1,400","2,000",625,"3,110","10,000","1,000","3,848","1,300",132,0,0,0,0,0,0,0,0,"1,399","1,400","1,916",625,"3,110","10,000",0,"3,848",837,132,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,39,Superintendent of Education,Superintendent of Education,Office Rent,,,Superintendent of Education,"15,250","15,250","17,690","17,690","18,300","18,402","18,910","19,012","19,622","19,520","20,130","21,960","19,031","17,283",0,0,0,0,"15,250","15,250","17,690","17,741","18,300","18,402","18,910","19,012","19,622","19,520","20,130","20,232","19,031","17,283",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,39,Superintendent of Education,Superintendent of Education,Miscellaneous,,,Superintendent of Education,400,407,400,53,400,400,400,400,390,0,0,0,"1,150",0,0,0,0,0,164,407,400,53,288,0,0,0,0,0,0,0,929,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,39,Superintendent of Education,Superintendent of Education,Office Machine Rent,,,Superintendent of Education,"4,000","4,000","3,500","3,500","4,044","3,916","4,295","3,900","4,957","5,412","5,346","1,379",0,"3,065",0,0,0,0,"2,747","3,758","3,464","3,762","4,044","3,916","3,900","3,900","4,957","5,412","5,339","1,379",0,"3,065",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,39,Superintendent of Education,Superintendent of Education,Insurance,,,Superintendent of Education,800,800,800,800,800,155,800,800,800,266,319,399,0,0,0,0,0,0,800,342,800,800,503,155,155,793,590,266,319,110,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,40,Solid Waste Management,Solid Waste Management,Salaries & Benefits,,,County Board Office,"1,000","1,200","1,000","1,000","1,000","1,500","1,500","1,500",0,0,0,0,0,0,0,0,0,0,150,"1,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,40,Solid Waste Management,Solid Waste Management,Office Supplies,,,County Board Office,"1,000",830,"1,000","1,000","1,000",500,500,500,"4,775","4,775","5,000",0,"10,000",0,0,0,0,0,447,830,645,0,0,0,0,0,"4,775","4,775","4,775",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,40,Solid Waste Management,Solid Waste Management,Travel,,,County Board Office,500,470,500,500,500,500,500,500,0,0,0,0,0,0,0,0,0,0,39,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,41,Planning Commission,Planning Commission,Miscellaneous,,,County Board Office,100,100,100,"7,550","6,190","7,240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,138","3,612",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,42,County Extension Service,County Extension Service,County Match,,,County Board Office,"10,000","10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,000","10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,43,Public Works & Transportation,Public Works & Transportation,County Match to Highways,,,County Highway Engineer,0,0,0,0,0,"1,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,44,Highways & Streets,Highways & Streets,County Match to Highways,,,County Highway Engineer,"1,200","1,200",0,"1,200","1,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,47,County Health Department WIC Fund,County Health Department WIC Fund,Personal Services,,,Public Health Adminstrator,0,0,,0,0,"110,000","110,000","110,000","118,000","120,000","120,000","116,000","118,000","120,000","180,000","160,000","155,000",0,"148,309","153,899",,"135,893","136,273","116,556","101,406","109,164","117,735","86,549","143,447","75,520","113,512","138,876","115,146","49,217","124,468",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,47,County Health Department WIC Fund,County Health Department WIC Fund,Contractual,,,Public Health Adminstrator,0,0,,0,0,"13,000","13,000","15,000","11,400","11,100","11,100","11,500","15,800","14,300","20,000","13,800","14,300",0,0,0,,0,"20,548","16,847","18,475","14,819","14,445","16,411","15,572","21,843","16,652","16,754","13,789","14,422","13,321",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,47,County Health Department WIC Fund,County Health Department WIC Fund,Travel,,,Public Health Adminstrator,0,0,,500,0,400,400,"1,000",500,500,500,500,500,500,"1,000",500,500,0,"1,699",816,,155,222,105,725,899,473,343,250,234,488,196,604,746,482,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,47,County Health Department WIC Fund,County Health Department WIC Fund,Breastfeeding,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,"1,940","4,917",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,47,County Health Department WIC Fund,County Health Department WIC Fund,Commodities,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,47,County Health Department WIC Fund,County Health Department WIC Fund,Supplies,,,Public Health Adminstrator,0,0,,500,0,"5,000","5,000","5,400","5,000","7,000","7,000","5,000","7,500","5,000","17,000","7,500","12,000",0,"4,384","7,344",,"8,851","4,061",0,0,"5,350","4,397","7,365","7,200","6,549","5,708","5,874","7,305","8,992","3,446",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,47,County Health Department WIC Fund,County Health Department WIC Fund,Miscellaneous,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,534",533,,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,47,County Health Department WIC Fund,County Health Department WIC Fund,Equipment,,,Public Health Adminstrator,0,0,,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,"2,643","2,660",,"16,621",0,"7,783","11,121",125,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,47,County Health Department WIC Fund,County Health Department WIC Fund,All Other Health Related Expenses,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,48,County Health Department Fund,County Health Department Fund,Salaries & Related Expense,,,Public Health Adminstrator,"651,944","661,280",,"712,686","617,900","825,374","1,047,559","1,454,192","1,488,122","1,692,348","1,692,348","1,581,416","1,659,422","1,531,693","1,364,636","1,653,979","1,782,267",0,"498,467","523,292",,"578,999","704,707","885,768","1,089,696","1,390,880","1,650,351","1,621,488","1,425,294","1,169,541","1,249,011","1,432,894","1,202,860","1,507,543","1,225,893",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,48,County Health Department Fund,County Health Department Fund,Tuberculosis Program,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,48,County Health Department Fund,County Health Department Fund,Office Expense,,,Public Health Adminstrator,"13,000","14,000",,"18,000","18,000","23,000","30,000","25,000",0,0,0,0,0,0,0,0,0,0,"26,495","35,888",,"20,447","24,480","38,121","32,280","27,757",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,48,County Health Department Fund,County Health Department Fund,Contractual Services,,,Public Health Adminstrator,"17,000","34,960",,"24,000","25,000","63,000","65,000","94,000",0,0,0,0,0,0,0,0,0,0,"28,874","43,754",,"38,698","45,286","102,736","84,718","154,117",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
