Fund,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,,
General Fund,1,21,Sheriff,Sheriff,Investigation Division Equipment,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,2949,2342,3336,3062,4567,6654,7172,6992,6175,5000,6502,1600,3000,7007,2000,2263,1130,1183,926.01,2000,2949,2342,3336,3062,4567,6654,7172,6992,6174,2057,6502,1552,627,7007,1912,2263,1130,1183,926.01,
General Fund,1,21,Sheriff,Sheriff,Deputy Equipment,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,11756,2812,1580,4152,7000,9700,6293,30180,19000,18371,7627,11850,10000,26143,6158,3707,6064,4690,5466.94,5000,11756,2812,1579,4152,5584,9540,6293,30180,16344,8891,7575,11850,6299,26143,6158,3705,6064,4690,5466.94,
General Fund,1,21,Sheriff,Sheriff,Grant Expense,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,0,0,0,0,0,0,0,0,0,0,18744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18744,0,0,0,0,0,0,0,0,
General Fund,1,21,Sheriff,Sheriff,Employee Uniforms & Equipment Damage,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,619,225,116,173,675,1000,113,438,785,500,275,0,0,0,0,0,0,0,0,500,619,225,116,173,0,0,113,438,746,0,48,0,0,0,0,0,0,0,0,
General Fund,1,21,Sheriff,Sheriff,Radio Purchase & Maintenance Agreement,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,6738,20123,19689,25372,23000,16345,9852,8275,11000,10036,18477,24208,42927,28718,18939,24055,9280,2572,13269.5,11000,6738,20123,19689,25372,19303,16345,9852,8275,10512,6150,18478,24208,42927,28718,18939,24055,9280,2572,13269.5,
General Fund,1,21,Sheriff,Sheriff,Retro-Accrued Time,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,0,0,0,0,101179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62361,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,
General Fund,1,21,Sheriff,Sheriff,Food,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,0,0,0,0,0,0,0,0,0,0,0,67192,73300,72148,46390,38536,50648,41588,58371.32,0,0,0,0,0,0,0,0,0,0,0,0,67167,71776,71071,45522,38536,50648,41588,58371.32,
General Fund,1,21,Sheriff,Sheriff,Utilities,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,0,0,0,0,0,0,0,0,0,0,0,78640,96698,95975,85813,80068,80299,46775,76028.5,40000,0,0,0,0,0,0,0,0,0,0,0,78640,96698,95975,85813,80068,80299,46775,76028.5,
General Fund,1,21,Sheriff,Sheriff,Housing Inmates in Other Counties,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,0,0,0,0,0,0,0,0,0,0,0,82620,22695,33085,15135,22100,26975,42500,56250,0,0,0,0,0,0,0,0,0,0,0,0,82620,22695,32715,15100,22100,26975,42500,56250,
General Fund,1,21,Sheriff,Sheriff,Medical Expenses of Inmates,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,0,0,0,0,0,0,0,0,0,0,0,92793,76838,90440,53950,55112,72672,58231,75567.95,0,0,0,0,0,0,0,0,0,0,0,0,92793,76542,88773,53950,55112,72672,58231,75567.95,
General Fund,1,22,Civil Defense - ESDA,Civil Defense - ESDA,Salaries & Benefits,http://macoupincountyil.gov/ema.htm,The line item funds the operation of the county Emergency Management office.,ESDA Adminstrator,40137,41712,32580,35686,36913,48401,37893,39914,41163,42471,41162,45569,45513,47333,48280,40550,48012,49418,50474.79,45570,40137,41712,32580,35643,35021,48401,37869,39914,41163,42471,41162,44382,45513,47333,48280,40530,48012,49418,50474.79,
General Fund,1,22,Civil Defense - ESDA,Civil Defense - ESDA,Office Supplies,http://macoupincountyil.gov/ema.htm,The line item funds the operation of the county Emergency Management office.,ESDA Adminstrator,135,224,400,2411,300,114,787,16772,106,673,0,504,893,0,11,400,0,0,0,50,135,224,392,2411,222,114,620,16669,106,673,0,504,869,0,0,383,0,0,0,
General Fund,1,22,Civil Defense - ESDA,Civil Defense - ESDA,Postage,http://macoupincountyil.gov/ema.htm,The line item funds the operation of the county Emergency Management office.,ESDA Adminstrator,296,300,137,745,359,427,484,133,0,36,49,37,150,92,0,500,0,0,0,50,296,250,137,745,359,427,484,133,0,36,49,0,0,92,0,100,0,0,0,
General Fund,1,22,Civil Defense - ESDA,Civil Defense - ESDA,"Mileage, Dues, & Conventions",http://macoupincountyil.gov/ema.htm,The line item funds the operation of the county Emergency Management office.,ESDA Adminstrator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,1000,25,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,65,0,0,0,
General Fund,1,22,Civil Defense - ESDA,Civil Defense - ESDA,Travel,http://macoupincountyil.gov/ema.htm,The line item funds the operation of the county Emergency Management office.,ESDA Adminstrator,0,950,1400,1801,627,335,489,505,195,205,45,290,400,0,0,0,0,0,0,0,0,858,1400,1647,627,335,489,505,195,205,45,290,300,0,0,0,0,0,0,
General Fund,1,22,Civil Defense - ESDA,Civil Defense - ESDA,Telephone,http://macoupincountyil.gov/ema.htm,The line item funds the operation of the county Emergency Management office.,ESDA Adminstrator,2097,2059,2185,2772,1528,3284,3522,3124,2584,2123,2735,2240,2000,428,631,1400,690,1082,1084.52,0,2097,2059,2123,2772,1336,3284,3104,3124,2584,2123,2736,2240,897,418,631,1395,688,1082,1084.52,
General Fund,1,22,Civil Defense - ESDA,Civil Defense - ESDA,Vehicle Expense,http://macoupincountyil.gov/ema.htm,The line item funds the operation of the county Emergency Management office.,ESDA Adminstrator,2415,1910,2212,2553,3010,26528,2723,2849,1417,2508,1981,2560,5794,5067,1818,3477,3177,3930,3970.69,5375,2389,1891,2178,2319,2014,26224,1494,2849,1417,2475,1968,2560,5780,5067,16795,2494,2753,3930,3970.69,
