Fund,Fund ID,Fund Description,Department,Short Title,Department ID,Control Officer,Link to Website,Department Description,Expense Line,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Central Macoupin County Rural Water,Central Macoupin County Rural Water,98,County Board Office,,This fund handled expenditures made by the County to the Central Macoupin County Rural Water District.,Contractual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37900,0,0,0,0,103000,122395,23433,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Circuit Clerk SDU Reimbursement Fund,Circuit Clerk SDU Reimbursement Fund,99,Circuit Clerk,,This fund was established to collect the reimbursement money the Circuit Clerk's office received from their purchase of the SDU computer system. The money was then transferred to the Circuit Clerk's budget.,Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Circuit Clerk SDU Reimbursement Fund,Circuit Clerk SDU Reimbursement Fund,99,Circuit Clerk,,This fund was established to collect the reimbursement money the Circuit Clerk's office received from their purchase of the SDU computer system. The money was then transferred to the Circuit Clerk's budget.,Miscellaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,25,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Circuit Clerk SDU Reimbursement Fund,Circuit Clerk SDU Reimbursement Fund,99,Circuit Clerk,,This fund was established to collect the reimbursement money the Circuit Clerk's office received from their purchase of the SDU computer system. The money was then transferred to the Circuit Clerk's budget.,Capital Outlay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43495,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,South Central Illinois Drug Task Force contract #4482,South Central Illinois Drug Task Force contract #4482,100,Sheriff,,,Capital outlay ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,South Central Illinois Drug Task Force - Contract #4614,South Central Illinois Drug Task Force - Contract #4614,101,Sheriff,,,Personal services ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,South Central Illinois Drug Task Force - Contract #4614,South Central Illinois Drug Task Force - Contract #4614,101,Sheriff,,,Contractual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,South Central Illinois Drug Task Force - Contract #4614,South Central Illinois Drug Task Force - Contract #4614,101,Sheriff,,,Supplies ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,South Central Illinois Drug Task Force - Contract #4514,South Central Illinois Drug Task Force - Contract #4514,102,Sheriff,,,Personnel services ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19885,69339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,South Central Illinois Drug Task Force - Contract #4514,South Central Illinois Drug Task Force - Contract #4514,102,Sheriff,,,Contractual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5428,29569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,South Central Illinois Drug Task Force - Contract #4514,South Central Illinois Drug Task Force - Contract #4514,102,Sheriff,,,Travel ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,South Central Illinois Drug Task Force - Contract #4514,South Central Illinois Drug Task Force - Contract #4514,102,Sheriff,,,Commodities ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,South Central Illinois Drug Task Force - Contract #4514,South Central Illinois Drug Task Force - Contract #4514,102,Sheriff,,,Supplies ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,South Central Illinois Drug Task Force - Contract #4514,South Central Illinois Drug Task Force - Contract #4514,102,Sheriff,,,Capital outlay ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,South Central Illinois Drug Task Force - Contract #4714,South Central Illinois Drug Task Force - Contract #4714,103,Sheriff,,,Personnel servcies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,South Central Illinois Drug Task Force - Contract #4714,South Central Illinois Drug Task Force - Contract #4714,103,Sheriff,,,Contractual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,South Central Illinois Drug Task Force - Contract #4714,South Central Illinois Drug Task Force - Contract #4714,103,Sheriff,,,Travel ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,South Central Illinois Drug Task Force - Contract #4714,South Central Illinois Drug Task Force - Contract #4714,103,Sheriff,,,Supplies ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,South Central Illinois Drug Task Force - Contract #4418,South Central Illinois Drug Task Force - Contract #4418,104,Sheriff,,,Personnel services ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,South Central Illinois Drug Task Force - Contract #4418,South Central Illinois Drug Task Force - Contract #4418,104,Sheriff,,,Contractual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,South Central Illinois Drug Task Force - Contract #4418,South Central Illinois Drug Task Force - Contract #4418,104,Sheriff,,,Travel ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,South Central Illinois Drug Task Force - Contract #4418,South Central Illinois Drug Task Force - Contract #4418,104,Sheriff,,,Commodities ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,South Central Illinois Drug Task Force - Contract #4418,South Central Illinois Drug Task Force - Contract #4418,104,Sheriff,,,Supplies ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Problem Solving Partnership Fund ,Problem Solving Partnership Fund ,105,County Board Office,,,Salaries and related expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23224,9290,0,0,0,0,0,0,0,0,0,0,0,0,0,0
